Id;Year;Hosts;Total;Matches;Average;Number;Venue;Games;Latitude;Longitude
1;1930;Uruguay;590549;18;32808;93000;Estadio Centenario, Montevideo;Uruguay 6–1 Yugoslavia, Semi-final;-34.88333;-56.16667
2;1934;Italy;363000;17;21353;55000;Stadio Nazionale PNF, Rome;Italy 2–1 Czechoslovakia, Final;41.9;12.48333
3;1938;France;375700;18;20872;58455;Olympique de Colombes, Paris;France 1–3 Italy, Quarter-final;48.85;2.35
4;1950;Brazil;1045246;22;47511;173,850[86];Maracan? Stadium, Rio de Janeiro;Brazil 1–2 Uruguay, Deciding match;-15.78333;-47.86667
5;1954;Switzerland;768607;26;29562;63000;Wankdorf Stadium, Bern;West Germany 3–2 Hungary, Final;46.95;7.45
6;1958;Sweden;819810;35;23423;50928;Ullevi Stadium, Gothenburg;Brazil 2–0 Soviet Union, Group stage;59.35;18.06667
7;1962;Chile;893172;32;27912;68679;Estadio Nacional, Santiago;Brazil 4–2 Chile, Semi-final;-33.43333;-70.66667
8;1966;England;1563135;32;48848;98270;Wembley Stadium, London;England 4–2 West Germany, Final;51.5;-0.11667
9;1970;Mexico;1603975;32;50124;108192;Estadio Azteca, Mexico City;Mexico 1–0 Belgium, Group stage;19.43333;-99.13333
10;1974;West Germany;1865753;38;49099;83168;Olympiastadion, Munich;West Germany 1–0 Chile, Group stage;50.73333;7.1
11;1978;Argentina;1545791;38;40679;71712;Estadio Monumental, Buenos Aires;Italy 1–0 Argentina, Group stage;-34.6;-58.38333
12;1982;Spain;2109723;52;40572;95500;Camp Nou, Barcelona;Argentina 0–1 Belgium, Opening match;40.43333;-3.7
13;1986;Mexico;2394031;52;46039;114600;Estadio Azteca, Mexico City;Mexico 1–1 Paraguay, Group stageArgentina 3–2 West Germany, Final;19.43333;-99.13333
14;1990;Italy;2516215;52;48389;74765;San Siro, Milan;West Germany 4–1 Yugoslavia, Group stage;41.9;12.48333
15;1994;United States;3587538;52;68991;94194;Rose Bowl, Pasadena, California;Brazil 0–0 (3–2p) Italy, Final;38.88333;-77.01667
16;1998;France;2785100;64;43517;80000;Stade de France, Saint-Denis;Brazil 0–3 France, Final;48.85;2.35
17;2002;South Korea Japan;2705197;64;42269;69029;International Stadium, Yokohama, Japan;Brazil 2–0 Germany, Final;36.4469;132.92415
18;2006;Germany;3359439;64;52491;72000;Olympiastadion, Berlin;Germany 1–1 (4–2p) Argentina, Quarter-final;52.51667;13.38333
19;2010;South Africa;3178856;64;49670;84490;Soccer City, Johannesburg;Spain 1–0 Netherlands, Final;-33.92528;18.42389
20;2014;Brazil;3429873;64;53592;74738;Maracan? Stadium, Rio de Janeiro;Germany 1–0 Argentina, Final;-15.78333;-47.86667
21;2018;Russia;3031768;64;47371;78011;Luzhniki Stadium, Moscow;France 4–2 Croatia, Final;55.75583;37.61722
22;2022;Qatar;3404252;64;53191;88966;Lusail Stadium, Qatar;Argentina 3–3 (4–2p) France, Final;25.3;51.51667
